"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	"Age at Diagnosis"	"Age at Diagnosis Code"	"HIV Exposure Category"	"HIV Exposure Category Code"	"Sex and Sexual Orientation"	"Sex and Sexual Orientation Code"	Cases
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	3
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	6
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	14
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	6
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	23
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Hemophilia/coagulation disorder"	"04"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	21
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	9
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	25
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	52
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	5
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	11
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	52
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	7
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	41
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	17
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	13
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	17
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	77
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	6
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	16
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	47
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	7
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	39
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	15
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	8
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	21
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	88
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	5
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	8
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	33
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	9
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	39
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	8
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	10
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	64
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	5
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	7
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	15
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	9
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	31
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	5
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	16
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	10
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	8
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	13
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	7
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	8
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	13
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	3
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	3
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	4
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	7
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	6
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	14
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	8
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	3
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	5
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	7
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	4
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	4
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	9
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	7
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	5
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	3
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	21
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	7
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	3
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	10
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	9
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	19
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	38
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	4
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	6
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	20
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	8
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	8
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	34
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	11
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	11
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	37
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	90
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	7
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	16
	"1997"	"1997"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	17
