"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	"Age at Diagnosis"	"Age at Diagnosis Code"	"HIV Exposure Category"	"HIV Exposure Category Code"	"Sex and Sexual Orientation"	"Sex and Sexual Orientation Code"	Cases
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	4
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	6
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	5
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	6
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	15
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	11
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	15
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	18
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	5
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	29
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	21
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	25
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	11
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	22
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	43
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	4
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	13
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	41
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	11
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"35 - 39 Years or age is missing"	"6"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	29
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	19
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	17
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	69
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	4
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	14
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	25
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	8
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"40 - 44 Years"	"7"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	26
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	6
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	19
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	48
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	19
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	8
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"45 - 49 Years"	"8"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	17
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	7
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	5
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	34
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	12
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"50 - 54 Years"	"9"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	8
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	6
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"55 - 59 Years"	"A"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	9
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"60 - 64 Years"	"B"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"65+ Years"	"C"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"Less than 1 Year"	"0"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	4
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"13 - 19 Years"	"2"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	6
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	3
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	3
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Receipt of blood, blood components or tissue"	"07"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	4
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	5
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	15
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	6
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	4
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	23
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	23
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	6
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"25 - 29 Years"	"4"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	6
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	16
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	5
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	7
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	16
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (bisexual)"	"2"	7
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (bisexual)"	"2"	17
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	30
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Receipt of blood, blood components or tissue"	"07"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	12
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"30 - 34 Years"	"5"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	22
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"Hemophilia/coagulation disorder"	"04"	"Female (any)"	"4"	1
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	9
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	16
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	9
	"2000"	"2000"	"Midwest, pediatric or not in MSA"	"AIDS7"	"35 - 39 Years or age is missing"	"6"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	27
